FID,Shape_Leng,Shape_Area,Count_,Count_1,landslide,prob
7029,4700,307500,0,0,0,0.0810908
7030,2700,158125,0,0,0,0.0529187
7031,1200,34375,0,0,0,0.0614803
7032,4000,312500,0,0,0,0.0131087
7033,2050,90000,0,0,0,0.392897
7034,2500,121875,0,0,0,0.0400116
7035,3050,178750,0,0,0,0.0347799
7036,1950,78750,0,0,0,0.0800471
7037,2800,143125,0,0,0,0.0355834
7038,3500,231250,0,0,0,0.475167
7039,2050,117500,0,0,0,0.0393185
7040,4000,302500,0,0,0,0.48453
7041,4000,355000,0,0,0,0.235862
7042,3800,150000,0,0,0,0.743495
7043,3050,166875,0,0,0,0.404503
7044,2400,110625,0,0,0,0.0947869
7045,3050,226250,0,0,0,0.0277057
7046,2550,198750,0,0,0,0.575839
7047,5800,517500,0,0,0,0.0907926
7048,800,31250,0,0,0,0.0322359
7049,3050,204375,0,0,0,0.0273875
7050,2000,60625,0,0,0,0.101222
7051,3900,189375,0,0,0,0.284959
7052,1850,106250,0,0,0,0.0175452
7053,4350,206250,0,0,0,0.553631
7054,3000,219375,0,0,0,0.0276487
7055,3000,170625,0,0,0,0.025763
7056,3200,173750,0,0,0,0.222681
7057,3750,225000,0,0,0,0.121987
7058,4450,207500,0,0,0,0.154484
7059,1400,36250,0,0,0,0.0220696
7060,3350,297500,0,0,0,0.240486
7061,4450,249375,0,0,0,0.231585
7062,3450,318125,0,0,0,0.20179
7063,1200,40625,0,0,0,0.0612462
7064,2600,182500,0,0,0,0.0296777
7065,3650,207500,0,0,0,0.19616
7066,4700,306875,0,0,0,0.406896
7067,3650,220625,0,0,0,0.531769
7068,4200,253750,0,0,0,0.0748608
7069,6600,551250,0,0,0,0.147959
7070,3900,178750,0,0,0,0.66579
7071,2500,131250,0,0,0,0.16485
7072,3550,347500,0,0,0,0.172234
7073,4300,291250,0,0,0,0.584817
7074,3850,226250,0,0,0,0.0742551
7075,1600,52500,0,0,0,0.0780808
7076,2350,113750,0,0,0,0.0481615
7077,4250,251250,0,0,0,0.708549
7078,1200,33125,0,0,0,0.0475936
7079,5100,368125,0,0,0,0.17433
7080,5300,489375,0,0,0,0.0679283
7081,5150,315000,0,0,0,0.532071
7082,4000,193750,0,0,0,0.165253
7083,3850,428125,0,0,0,0.0127781
7084,4000,320000,0,0,0,0.116945
7085,3050,221250,0,0,0,0.0298072
7086,4700,355625,0,0,0,0.20221
7087,3400,236875,0,0,0,0.451195
7088,3500,153125,0,0,0,0.3408
7089,3000,214375,0,0,0,0.118242
7090,3100,213125,0,0,0,0.0263221
7091,2950,191875,0,0,0,0.0292735
7092,4050,226250,0,0,0,0.0987707
7093,2200,146875,0,0,0,0.10055
7094,3800,371875,0,0,0,0.149745
7095,4300,220000,0,0,0,0.214176
7096,950,31875,0,0,0,0.02606
7097,3500,168750,0,0,0,0.0771704
7098,3500,413750,0,0,0,0.0583947
7099,3600,240000,0,0,0,0.12869
7100,7050,558125,0,0,0,0.224922
7101,3050,233750,0,0,0,0.0254307
