,altitude,aspect,fault,ndvi,plan,profile,rainfall,river,road,slope,spi,sti,twi,soil_envi,landuse_envi,lithology_envi,len_x,len_y,Shape_Leng,Shape_Area
49,604.7272727,83.08797133,9753.474945,0.282981938,0.001163272,0.012549471,992.8161359,320.3734124,733.7998495,24.82490355,24.11086802,12.24745629,4.777133259,2,4,11,25,36,3100,254375
50,816.0211416,127.1882251,10734.69361,0.222115513,-0.039507277,-0.000193594,995.0378344,441.6297533,1481.23938,19.66479684,18.37254499,9.316075943,5.069785388,3,5,4,27,35,3450,295625
51,867.1746835,229.7765346,11126.10589,0.116925431,0.066833101,0.022229887,996.096449,407.2892731,1982.501416,25.80658274,25.77481985,12.83523601,4.762042377,3,5,4,44,18,3800,246875
52,656.9363057,217.1186429,8906.024918,0.250862614,-0.002239046,-0.003215373,991.479823,427.6829681,184.3299365,27.32075347,27.44767589,13.71791956,4.680827748,2,4,11,19,14,1800,98125
53,463.3571429,152.4575639,5692.235212,0.119489718,-0.125219105,-0.056647659,992.8106951,371.8092957,283.9285714,25.12676706,24.07790937,12.39180871,4.721093476,2,3,5,13,7,1050,17500
54,585.4807692,267.5629078,6720.427836,0.13622223,-0.011818512,0.023272652,992.4356958,418.1656033,1017.105476,25.38366921,24.83168815,12.60420633,4.772544031,2,4,5,56,25,4700,455000
55,748.8045455,238.8513854,8398.893359,0.243179222,-0.017489272,-0.015035026,991.7815733,745.0926594,691.1208085,31.48778957,32.53288892,16.10022413,4.483302781,2,4,11,56,24,4700,412500
56,716.8310894,270.3844281,8751.770346,0.252008231,-0.007201534,0.008484391,991.4420422,611.2495692,257.2271719,25.58376206,25.5570989,12.72572667,4.789936769,2,4,11,35,55,4850,510625
57,921.0680272,188.1484524,7759.876741,0.133684698,-0.026383039,0.023654853,991.0036239,771.9791051,1314.112246,18.04579253,16.8015921,8.416306675,5.199082301,2,3,5,22,36,3450,183750
58,886.8072917,95.810302,10553.73841,0.030061011,7.10E-05,0.002157517,997.2204665,488.0497187,2380.24846,26.49933143,26.33446603,13.18855112,4.697478285,3,5,4,22,33,2950,240000
59,770.6230284,163.8640277,10548.12889,0.241565293,0.069903779,0.028257436,994.4612282,185.0232285,1279.616232,19.86332995,19.0399678,9.43996161,5.088083148,3,4,4,44,33,4600,396250
60,841.6113208,221.2181951,8388.94874,0.216773123,0.037316309,0.016530825,990.8098472,760.3199821,387.6492371,26.32925616,26.13115177,13.11273201,4.708309232,2,4,11,20,45,4100,165625
61,691.2348993,112.5011218,10127.6636,0.319883927,0.020414921,0.112836141,993.6376584,126.6002429,833.00614,16.14269354,14.87112619,7.355548606,5.318899519,3,4,11,19,14,1800,93125
62,639.1517615,92.59005178,9503.084217,0.235239409,-0.062789678,-0.037563747,992.307504,297.9469324,436.5737762,25.41601772,25.13308908,12.62082128,4.785300153,2,4,11,33,33,3500,230625
63,665.5410959,128.3601699,6770.212162,0.120238311,0.01441808,-0.024658851,992.1561198,420.7115991,1363.172228,25.21288533,24.9554589,12.46184109,4.771402037,2,3,5,59,30,5250,365000
64,808.7253086,200.8990588,6847.681906,0.143379592,-0.05999934,-0.02055663,991.2495215,510.2440762,1943.695012,24.02557293,23.45708697,11.79897117,4.834624582,2,5,5,34,28,3500,202500
65,588.4642857,70.33977837,5813.572445,0.123096603,0.043756374,0.049690543,992.2835517,480.9623112,419.2872178,29.61712575,29.38741792,15.02289606,4.525856182,2,3,5,27,24,2600,245000
66,849.8108108,202.4090372,7196.139569,0.13375794,0.131641052,0.156191304,990.3275559,185.6318034,1849.390577,21.63459461,20.56288679,10.5095893,5.029995532,2,5,5,13,13,1350,46250
