,altitude,aspect,fault,ndvi,plan,profile,rainfall,river,road,slope,spi,sti,twi,soil_0,landuse_0,lithology_0,len_x,len_y,Shape_Leng,Shape_Area
73,306.2575758,246.3489113,3080.86571,0.203477938,-0.036862924,-0.020445932,916.5383991,417.0107311,1470.347295,20.01599289,70.34654346,16.17787753,5.478696853,10,2,225,37,25,3350,301875
74,294.4957983,193.161708,2602.463896,0.195210681,0.007387051,-0.055149454,937.2610097,617.5038807,2144.03658,18.70331805,52.65568478,13.19173402,5.409519682,10,3,225,35,53,4950,423750
75,288.0057803,137.2906081,3073.221534,0.251934019,0.020690529,0.05986132,914.8756077,384.4178959,1778.371859,19.78916916,82.69885365,15.41447343,5.490471721,10,3,225,37,18,2900,216250
76,341.5831663,191.7681916,2905.307463,0.245671325,0.043114314,0.046605976,917.5437363,467.4434478,1083.829357,22.17848463,158.7651662,22.30736776,5.490919879,10,3,225,33,41,3750,343750
77,783.4444444,79.54972817,3371.210523,0.210326482,0.044741913,-0.037803843,968.0056152,409.3288896,197.5143536,17.25348228,147.9120693,21.35317203,5.988811336,6,3,158,9,33,2450,61875
78,551.2637584,180.0007329,5381.400398,0.141795217,-0.024877435,-0.012560383,912.26543,450.5008114,644.4070595,19.96530227,102.3117549,18.82721905,5.619537585,4,2,83,43,67,6300,931250
79,283.1538462,99.0964377,2430.152267,0.171559824,-0.022088967,0.042546807,934.6774174,456.9116014,1794.247048,17.78542888,62.55397825,13.69705526,5.529947984,10,2,225,26,32,3400,219375
80,263.7238095,188.6134989,2175.584709,0.22773732,0.08979935,0.046572713,935.0081601,291.4412542,1681.526836,21.60360413,102.5015403,18.24489151,5.452531388,10,3,225,15,20,1900,65625
81,770.3333333,153.0471846,3301.930296,0.235804608,0.021436748,0.071044078,967.1681163,455.4908709,414.9832263,23.8755144,134.8850028,22.90174046,5.385553822,6,3,158,28,50,4600,447500
82,416.1068702,226.9210986,4532.511894,0.184926519,-0.045940233,-0.039470601,903.0645444,245.8620473,640.5572584,18.12497507,57.32190075,13.94768312,5.494260781,10,2,225,23,13,1900,81875
83,477.4222222,204.1326865,4533.959436,0.208326985,-0.007379839,0.004920827,903.8208545,490.9388455,320.7275437,18.58265773,84.42830546,16.01006792,5.630486206,10,3,225,29,29,3150,225000
