FID,Shape_Leng,Shape_Area,Count_,landslide,prob
8162,1600,42500,0,0,0.354014
8163,2850,241250,0,0,0.734641
8164,1000,23125,0,0,0.0497089
8165,2800,193125,0,0,0.36599
8166,3600,196250,0,0,0.592142
8167,2650,100000,0,0,0.101286
8168,3650,225000,0,0,0.713363
8169,4150,266875,0,0,0.453129
8170,4050,410625,0,0,0.541168
8171,3550,329375,0,0,0.916277
8172,2700,119375,0,0,0.228469
8173,1300,28125,0,0,0.752306
8174,3150,235000,1,1,0.947685
8175,5650,296250,1,1,0.969128
8176,2950,205000,0,0,0.641666
8177,3950,290625,0,0,0.777439
8178,1850,75000,0,0,0.0379567
8179,5100,606875,0,0,0.848477
8180,2300,145000,0,0,0.0134453
8181,2700,139375,0,0,0.274432
8182,2600,84375,0,0,0.776747
8183,2650,145000,1,1,0.669676
8184,2950,168125,0,0,0.658809
8185,2700,181250,0,0,0.755233
8186,3450,175625,0,0,0.410416
8187,4600,300000,0,0,0.747542
8188,6300,648125,1,1,0.528484
8189,6300,800000,0,0,0.551053
8190,6300,366250,0,0,0.862654
8191,900,16250,0,0,0.031988
8192,4850,463750,2,1,0.790648
8193,1700,90625,0,0,0.120695
8194,3400,215000,0,0,0.0837621
8195,4300,379375,6,1,0.858171
8196,8200,597500,2,1,0.917352
8197,2500,125625,0,0,0.471784
8198,3250,161875,0,0,0.335976
8199,3000,104375,0,0,0.234852
8200,3050,187500,0,0,0.464438
8201,5100,593750,1,1,0.720554
8202,4150,376875,0,0,0.90579
8203,7000,440625,0,0,0.733672
8204,4000,367500,1,1,0.842658
8205,1100,28750,0,0,0.886296
8206,3050,115000,0,0,0.469819
8207,4500,340625,0,0,0.508977
8208,3900,305625,0,0,0.104694
8209,1250,31875,0,0,0.0370957
8210,900,18750,0,0,0.834013
8211,4850,359375,0,0,0.926857
8212,1100,31250,0,0,0.0225742
8213,3900,283125,0,0,0.243612
8214,4050,196250,0,0,0.4108
8215,3650,206875,0,0,0.655835
8216,3550,163125,0,0,0.336077
8217,2800,176875,0,0,0.472896
8218,1850,54375,0,0,0.372295
8219,2650,223125,0,0,0.376367
8220,2300,162500,0,0,0.962864
8221,6200,899375,0,0,0.372656
8222,2900,120625,0,0,0.534448
8223,3950,316875,0,0,0.437029
8224,3100,181250,0,0,0.272188
8225,3500,215000,0,0,0.0660783
8226,4300,208125,0,0,0.612224
8227,2200,150625,0,0,0.58156
8228,4200,332500,0,0,0.496124
8229,5900,315000,0,0,0.121787
8230,6750,425000,0,0,0.0476474
8231,6000,641250,0,0,0.499642
8232,6700,667500,0,0,0.635656
8233,2150,140625,0,0,0.274676
8234,4450,348750,0,0,0.259557
8235,3200,264375,0,0,0.440956
8236,850,25000,0,0,0.0310178
8237,4750,280000,0,0,0.370075
8238,3350,247500,0,0,0.0252779
8239,4100,353125,1,1,0.522093
8240,1300,57500,0,0,0.332851
8241,6400,397500,0,0,0.511962
8242,4200,227500,0,0,0.566793
8243,3150,258750,0,0,0.533253
8244,2700,170000,0,0,0.807486
8245,3300,202500,0,0,0.269608
8246,3950,331250,0,0,0.240696
8247,3200,196250,0,0,0.528277
8248,2850,208125,0,0,0.0260296
8249,4150,268750,0,0,0.383031
8250,2900,167500,0,0,0.487756
8251,1900,51250,0,0,0.208299
8252,8400,811250,0,0,0.71243
8253,3650,158125,0,0,0.0528042
8254,3350,193125,0,0,0.31065
8255,4750,418125,0,0,0.824924
8256,3050,171250,0,0,0.261571
8257,5900,538750,1,1,0.922114
8258,1450,61250,1,1,0.489803
8259,4000,198750,0,0,0.511342
8260,3100,144375,0,0,0.256386
